threshold,num_test_nodes,MLP_accuracy,GCN_accuracy,GraphSAGE_accuracy,GraphSAINT-RW_accuracy,GraphSAINT-Node_accuracy
0,37164,0.6017382740974426,0.5184856653213501,0.44540417194366455,0.4140835404396057,0.5652244091033936
1,68272,0.6141610145568848,0.6034977436065674,0.5720939636230469,0.5675532817840576,0.6356192827224731
2,91948,0.6181319952011108,0.6431243419647217,0.621394693851471,0.6244616508483887,0.6656262278556824
3,110690,0.6188635230064392,0.6658957600593567,0.6489114165306091,0.6547746062278748,0.6822386980056763
5,139306,0.6184729933738708,0.6939542889595032,0.6816648244857788,0.6894462704658508,0.7029919624328613
10,188433,0.6169461011886597,0.7289434671401978,0.72097247838974,0.7312943935394287,0.7315279245376587
20,232252,0.6180441975593567,0.754568338394165,0.7480279803276062,0.759007453918457,0.7536253929138184
50,251737,0.6198531985282898,0.7658706903457642,0.7596260905265808,0.7706653475761414,0.7635666728019714
