stratum,degree_range,num_test_nodes,MLP_accuracy,GCN_accuracy,GraphSAGE_accuracy,GraphSAINT-RW_accuracy,GraphSAINT-Node_accuracy
isolated,0.0,37164,0.6017382740974426,0.5184856653213501,0.44540417194366455,0.4140835404396057,0.5652244091033936
sparse,1.0-5.0,102142,0.6245619058609009,0.7577979564666748,0.7676274180412292,0.7896360158920288,0.7531182169914246
moderate,6.0-20.0,92946,0.6174014806747437,0.8454155921936035,0.8474920392036438,0.8632646799087524,0.8295246362686157
well_connected,21.0-1329.0,21372,0.6353639960289001,0.8997285962104797,0.8966872096061707,0.9077297449111938,0.8776904344558716
