Edges Removed,GCN,GraphSAGE,GraphSAINT-RW,GraphSAINT-Node
0%,0.7668004631996155,0.7605550289154053,0.7715397477149963,0.7640838623046875
10%,0.7621085047721863,0.7548063397407532,0.7653928995132446,0.7607008814811707
25%,0.753221333026886,0.744342029094696,0.754439651966095,0.755630373954773
50%,0.7295248508453369,0.7153897285461426,0.7259131669998169,0.7404386401176453
75%,0.6813393235206604,0.6527142524719238,0.6625792384147644,0.710240364074707
90%,0.6162587404251099,0.557466983795166,0.5650529861450195,0.6649725437164307
