Random Edges Added,GCN,GraphSAGE,GraphSAINT-RW,GraphSAINT-Node
+0%,0.7668004631996155,0.7605550289154053,0.7715397477149963,0.7640838623046875
+10%,0.6873205900192261,0.6904551982879639,0.7015227675437927,0.7008761167526245
+25%,0.6277363300323486,0.6461573243141174,0.6516417860984802,0.6589006185531616
+50%,0.5749534964561462,0.6158920526504517,0.6122922301292419,0.6274406313896179
+100%,0.5079448223114014,0.5844557285308838,0.5643038749694824,0.5924360752105713
